PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 80°C Desorption, 4.5.2026, 16:19
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 2.2168e+05	 5.7940e+02	 3.6684e+00	 5.4106e-01	 3.5314e+02	 6.3894e+02
 3.3253e+05	 5.7940e+02	 3.5310e+00	 4.8959e-01	 3.5314e+02	 6.4169e+02
 4.9879e+05	 5.7940e+02	 3.4140e+00	 4.3551e-01	 3.5314e+02	 6.4425e+02
 7.4818e+05	 5.7940e+02	 3.3728e+00	 3.2282e-01	 3.5315e+02	 6.5195e+02
 9.0000e+05	 5.7940e+02	 3.3409e+00	 3.0044e-01	 3.5314e+02	 6.5994e+02
 1.0000e+02	 6.5720e+02	 6.3684e+00	 4.3925e-01	 3.5314e+02	 6.6803e+02
 1.5000e+02	 6.5720e+02	 6.2650e+00	 4.3128e-01	 3.5314e+02	 6.7059e+02
 2.2500e+02	 6.5720e+02	 6.1646e+00	 4.2873e-01	 3.5314e+02	 6.7345e+02
 3.3750e+02	 6.5720e+02	 6.0642e+00	 4.3136e-01	 3.5314e+02	 6.7606e+02
 5.0625e+02	 6.5720e+02	 5.9610e+00	 4.3865e-01	 3.5314e+02	 6.7872e+02
 7.5938e+02	 6.5720e+02	 5.8555e+00	 4.5014e-01	 3.5314e+02	 6.8137e+02
 1.1391e+03	 6.5720e+02	 5.7456e+00	 4.6497e-01	 3.5314e+02	 6.8400e+02
 1.7086e+03	 6.5720e+02	 5.6311e+00	 4.8278e-01	 3.5314e+02	 6.8662e+02
 2.5629e+03	 6.5720e+02	 5.5114e+00	 5.0326e-01	 3.5314e+02	 6.8931e+02
 3.8443e+03	 6.5720e+02	 5.3858e+00	 5.2636e-01	 3.5315e+02	 6.9181e+02
 5.7665e+03	 6.5720e+02	 5.2530e+00	 5.5201e-01	 3.5314e+02	 6.9425e+02
 8.6498e+03	 6.5720e+02	 5.1121e+00	 5.7973e-01	 3.5314e+02	 6.9681e+02
 1.2975e+04	 6.5720e+02	 4.9614e+00	 6.0814e-01	 3.5315e+02	 6.9925e+02
 1.9462e+04	 6.5720e+02	 4.7993e+00	 6.3491e-01	 3.5314e+02	 7.0180e+02
 2.9193e+04	 6.5720e+02	 4.6301e+00	 6.5672e-01	 3.5314e+02	 7.0687e+02
 4.3789e+04	 6.5720e+02	 4.4677e+00	 5.8359e-01	 3.5314e+02	 7.0944e+02
 6.5684e+04	 6.5720e+02	 4.2888e+00	 6.1428e-01	 3.5314e+02	 7.1187e+02
 9.8526e+04	 6.5720e+02	 4.1046e+00	 6.2044e-01	 3.5315e+02	 7.1469e+02
 1.4779e+05	 6.5720e+02	 3.9250e+00	 6.0101e-01	 3.5315e+02	 7.1725e+02
 2.2168e+05	 6.5720e+02	 3.7574e+00	 5.6429e-01	 3.5315e+02	 7.1994e+02
 3.3253e+05	 6.5720e+02	 3.5832e+00	 5.2073e-01	 3.5315e+02	 7.2237e+02
 4.9879e+05	 6.5720e+02	 3.4582e+00	 4.6233e-01	 3.5315e+02	 7.2503e+02
 7.4818e+05	 6.5720e+02	 3.4109e+00	 3.4522e-01	 3.5315e+02	 7.3269e+02
 9.0000e+05	 6.5720e+02	 3.3766e+00	 3.2104e-01	 3.5315e+02	 7.4037e+02
 1.0000e+02	 7.3760e+02	 6.4213e+00	 4.1947e-01	 3.5316e+02	 7.4870e+02
 1.5000e+02	 7.3760e+02	 6.3239e+00	 4.1025e-01	 3.5316e+02	 7.5120e+02
 2.2500e+02	 7.3760e+02	 6.2287e+00	 4.0498e-01	 3.5315e+02	 7.5389e+02
 3.3750e+02	 7.3760e+02	 6.1344e+00	 4.0638e-01	 3.5315e+02	 7.5644e+02
 5.0625e+02	 7.3760e+02	 6.0384e+00	 4.1329e-01	 3.5315e+02	 7.5917e+02
 7.5938e+02	 7.3760e+02	 5.9399e+00	 4.2532e-01	 3.5314e+02	 7.6175e+02
 1.1391e+03	 7.3760e+02	 5.8366e+00	 4.4183e-01	 3.5315e+02	 7.6448e+02
 1.7086e+03	 7.3760e+02	 5.7284e+00	 4.6193e-01	 3.5315e+02	 7.6706e+02
 2.5629e+03	 7.3760e+02	 5.6143e+00	 4.8560e-01	 3.5315e+02	 7.6975e+02
 3.8443e+03	 7.3760e+02	 5.4932e+00	 5.1272e-01	 3.5315e+02	 7.7219e+02
 5.7665e+03	 7.3760e+02	 5.3637e+00	 5.4266e-01	 3.5315e+02	 7.7462e+02
 8.6498e+03	 7.3760e+02	 5.2253e+00	 5.7566e-01	 3.5315e+02	 7.7737e+02
 1.2975e+04	 7.3760e+02	 5.0752e+00	 6.0989e-01	 3.5315e+02	 7.7987e+02
 1.9462e+04	 7.3760e+02	 4.9124e+00	 6.4314e-01	 3.5316e+02	 7.8248e+02
 2.9193e+04	 7.3760e+02	 4.7367e+00	 6.7145e-01	 3.5316e+02	 7.8506e+02
 4.3789e+04	 7.3760e+02	 4.5683e+00	 6.0175e-01	 3.5315e+02	 7.8750e+02
 6.5684e+04	 7.3760e+02	 4.3810e+00	 6.3615e-01	 3.5315e+02	 7.9012e+02
 9.8526e+04	 7.3760e+02	 4.1873e+00	 6.4852e-01	 3.5316e+02	 7.9269e+02
 1.4779e+05	 7.3760e+02	 3.9958e+00	 6.3230e-01	 3.5315e+02	 7.9544e+02
 2.2168e+05	 7.3760e+02	 3.8172e+00	 5.9506e-01	 3.5315e+02	 7.9800e+02
 3.3253e+05	 7.3760e+02	 3.6328e+00	 5.4961e-01	 3.5315e+02	 8.0067e+02
 4.9879e+05	 7.3760e+02	 3.5006e+00	 4.8753e-01	 3.5315e+02	 8.0326e+02
 7.4818e+05	 7.3760e+02	 3.4472e+00	 3.6630e-01	 3.5315e+02	 8.1123e+02
 9.0000e+05	 7.3760e+02	 3.4104e+00	 3.4043e-01	 3.5315e+02	 8.1900e+02
 1.0000e+02	 8.1620e+02	 6.4572e+00	 4.0190e-01	 3.5315e+02	 8.2741e+02
 1.5000e+02	 8.1620e+02	 6.3652e+00	 3.8893e-01	 3.5315e+02	 8.2989e+02
