PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Absorption, 12.5.2026, 11:52
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 5.0625e+02	 6.4980e+02	 1.6545e+00	 2.0467e-02	 3.2314e+02	 6.7464e+02
 7.5938e+02	 6.4980e+02	 1.6491e+00	 2.2945e-02	 3.2314e+02	 6.7713e+02
 1.1391e+03	 6.4980e+02	 1.6429e+00	 2.5796e-02	 3.2315e+02	 6.8213e+02
 1.7086e+03	 6.4980e+02	 1.6362e+00	 2.8860e-02	 3.2315e+02	 6.8489e+02
 2.5629e+03	 6.4980e+02	 1.6280e+00	 3.1966e-02	 3.2315e+02	 6.8988e+02
 3.8443e+03	 6.4980e+02	 1.6192e+00	 3.5021e-02	 3.2315e+02	 6.9250e+02
 5.7665e+03	 6.4980e+02	 1.6098e+00	 3.8011e-02	 3.2315e+02	 6.9500e+02
 8.6498e+03	 6.4980e+02	 1.5998e+00	 4.1044e-02	 3.2315e+02	 6.9766e+02
 1.2975e+04	 6.4980e+02	 1.5881e+00	 4.4283e-02	 3.2315e+02	 7.0263e+02
 1.9462e+04	 6.4980e+02	 1.5755e+00	 4.7503e-02	 3.2315e+02	 7.0532e+02
 2.9193e+04	 6.4980e+02	 1.5611e+00	 4.9772e-02	 3.2315e+02	 7.0782e+02
 4.3789e+04	 6.4980e+02	 1.5449e+00	 4.9512e-02	 3.2315e+02	 7.1313e+02
 6.5684e+04	 6.4980e+02	 1.5413e+00	 4.4665e-02	 3.2316e+02	 7.1586e+02
 9.8526e+04	 6.4980e+02	 1.5288e+00	 3.9720e-02	 3.2316e+02	 7.1832e+02
 1.4779e+05	 6.4980e+02	 1.5191e+00	 3.4387e-02	 3.2316e+02	 7.2082e+02
 2.2168e+05	 6.4980e+02	 1.5118e+00	 2.9631e-02	 3.2315e+02	 7.2350e+02
 3.3253e+05	 6.4980e+02	 1.5058e+00	 2.5954e-02	 3.2315e+02	 7.2607e+02
 4.9879e+05	 6.4980e+02	 1.4996e+00	 2.4084e-02	 3.2315e+02	 7.2882e+02
 7.4818e+05	 6.4980e+02	 1.4944e+00	 2.2610e-02	 3.2315e+02	 7.3138e+02
 9.0000e+05	 6.4980e+02	 1.4929e+00	 2.2028e-02	 3.2315e+02	 7.3413e+02
 1.0000e+02	 7.3150e+02	 1.6659e+00	 1.3589e-02	 3.2313e+02	 7.4368e+02
 1.5000e+02	 7.3150e+02	 1.6632e+00	 1.5019e-02	 3.2313e+02	 7.4602e+02
 2.2500e+02	 7.3150e+02	 1.6593e+00	 1.6255e-02	 3.2313e+02	 7.5132e+02
 3.3750e+02	 7.3150e+02	 1.6553e+00	 1.8140e-02	 3.2313e+02	 7.5382e+02
 5.0625e+02	 7.3150e+02	 1.6508e+00	 2.0317e-02	 3.2312e+02	 7.5658e+02
 7.5938e+02	 7.3150e+02	 1.6454e+00	 2.2992e-02	 3.2312e+02	 7.5907e+02
 1.1391e+03	 7.3150e+02	 1.6394e+00	 2.5768e-02	 3.2312e+02	 7.6407e+02
 1.7086e+03	 7.3150e+02	 1.6327e+00	 2.8830e-02	 3.2312e+02	 7.6650e+02
 2.5629e+03	 7.3150e+02	 1.6246e+00	 3.1891e-02	 3.2311e+02	 7.7157e+02
 3.8443e+03	 7.3150e+02	 1.6159e+00	 3.4933e-02	 3.2311e+02	 7.7400e+02
 5.7665e+03	 7.3150e+02	 1.6065e+00	 3.7795e-02	 3.2311e+02	 7.7682e+02
 8.6498e+03	 7.3150e+02	 1.5967e+00	 4.0783e-02	 3.2311e+02	 7.7925e+02
 1.2975e+04	 7.3150e+02	 1.5852e+00	 4.3912e-02	 3.2312e+02	 7.8463e+02
 1.9462e+04	 7.3150e+02	 1.5727e+00	 4.7037e-02	 3.2313e+02	 7.8732e+02
 2.9193e+04	 7.3150e+02	 1.5585e+00	 4.8991e-02	 3.2313e+02	 7.8982e+02
 4.3789e+04	 7.3150e+02	 1.5427e+00	 4.8638e-02	 3.2313e+02	 7.9513e+02
 6.5684e+04	 7.3150e+02	 1.5397e+00	 4.3655e-02	 3.2314e+02	 7.9786e+02
 9.8526e+04	 7.3150e+02	 1.5276e+00	 3.8769e-02	 3.2314e+02	 8.0032e+02
 1.4779e+05	 7.3150e+02	 1.5182e+00	 3.3568e-02	 3.2315e+02	 8.0282e+02
 2.2168e+05	 7.3150e+02	 1.5112e+00	 2.8989e-02	 3.2315e+02	 8.0544e+02
 3.3253e+05	 7.3150e+02	 1.5053e+00	 2.5481e-02	 3.2315e+02	 8.0794e+02
 4.9879e+05	 7.3150e+02	 1.4992e+00	 2.3735e-02	 3.2316e+02	 8.1064e+02
 7.4818e+05	 7.3150e+02	 1.4941e+00	 2.2239e-02	 3.2316e+02	 8.1313e+02
 9.0000e+05	 7.3150e+02	 1.4925e+00	 2.1716e-02	 3.2317e+02	 8.1569e+02
 1.0000e+02	 8.1300e+02	 1.6649e+00	 1.2865e-02	 3.2317e+02	 8.2489e+02
 1.5000e+02	 8.1300e+02	 1.6607e+00	 1.4741e-02	 3.2316e+02	 8.2763e+02
 2.2500e+02	 8.1300e+02	 1.6573e+00	 1.6165e-02	 3.2317e+02	 8.3291e+02
